# {"t_start": 1589491546.937933, "env_id": "Walker2DBulletEnv-v0"} 
r,l,t
17.365342,13,2.806473
15.531962,11,2.841095
13.428829,8,2.871313
16.807777,11,2.905196
18.526917,13,2.945233
16.856674,10,2.980209
15.544331,11,3.013827
16.085221,11,3.047083
17.009557,11,3.07996
22.942317,19,3.140759
14.088381,8,3.168031
15.38887,8,3.191446
22.607584,21,3.260221
17.236904,10,3.293459
15.484523,9,3.321353
16.105366,10,3.351089
15.211826,9,3.382594
18.878696,15,3.43367
15.179732,10,3.464347
17.244932,10,3.494993
13.671536,9,3.522388
16.820636,10,3.552551
16.039806,10,3.582778
15.397832,9,3.611782
14.800744,11,3.645851
17.408347,11,3.679874
19.389474,15,3.725782
14.899304,10,3.756055
15.441154,10,3.786771
17.410926,11,3.820427
16.489289,11,3.853989
17.295828,11,3.887059
17.414758,13,3.926123
13.546982,8,3.950493
14.789853,8,3.979634
17.783128,14,4.02376
13.944823,9,4.051491
15.222139,8,4.076057
17.000633,12,4.111914
15.091706,9,4.138785
19.181864,15,4.186157
15.869515,10,4.216763
17.401145,12,4.252734
16.718166,11,4.293463
20.687645,16,4.341978
15.425039,9,4.368714
17.233038,10,4.398955
16.40786,12,4.434716
16.745149,11,4.46812
13.903555,9,4.495139
16.640146,12,4.531706
18.079096,12,4.567182
16.045444,14,4.609396
18.914166,14,4.651421
17.244774,11,4.684009
20.352221,15,4.729406
15.25055,9,4.757212
14.94507,9,4.786249
15.641902,10,4.816382
18.525608,12,4.852731
16.31764,10,4.884044
15.3931,10,4.916207
16.137355,11,4.950917
15.925484,12,4.991212
14.841198,8,5.018942
19.813791,14,5.063649
18.172967,11,5.100428
17.355965,12,5.139203
14.981949,9,5.168375
21.88058,17,5.220175
16.166497,12,5.273249
15.449934,9,5.310654
20.567221,15,5.35717
17.446888,12,5.393513
17.995259,14,5.436071
16.741254,13,5.475839
17.881095,13,5.516761
18.645945,16,5.566327
18.93014,13,5.606292
16.804071,10,5.63596
20.06504,14,5.67702
15.238549,9,5.704821
15.518333,9,5.732548
15.253741,9,5.758984
16.96274,12,5.794717
17.258501,12,5.831864
17.683267,12,5.868429
14.439107,8,5.8928
13.806172,8,5.917421
13.133863,8,5.942118
21.095345,15,5.9866
18.190893,14,6.035683
16.814088,10,6.066387
17.650767,12,6.10355
16.321843,11,6.135465
15.507424,10,6.167658
